workerid,resp_blue,resp_red,trial
1462,64,39,23
1448,92,31,23
1445,69,19,23
1475,100,0,23
1469,99,3,23
1477,94,4,23
1495,100,5,23
1493,82,23,23
1474,82,15,23
1457,93,5,23
1452,92,8,23
1464,100,0,23
1483,95,19,23
1451,99,1,23
1473,20,99,23
1470,92,20,23
1454,84,39,23
1438,70,45,23
1488,66,36,23
1494,100,0,23
1466,100,26,23
1490,95,58,23
1442,98,18,23
1476,98,93,23
1446,95,4,23
1484,74,28,23
1487,94,0,23
1492,100,0,23
1440,98,2,23
1465,20,63,24
1456,3,96,24
1481,0,98,24
1441,2,98,24
1444,29,88,24
1467,72,99,24
1472,48,77,24
1447,56,77,24
1450,12,100,24
1486,9,99,24
1439,21,69,24
1485,55,91,24
1443,32,62,24
1482,69,92,24
1461,77,87,24
1491,7,100,24
1480,0,99,24
1449,3,97,24
1460,3,80,24
1462,36,96,24
1448,49,54,24
1445,44,79,24
1469,4,99,24
1477,6,92,24
1495,0,99,24
1493,37,76,24
1474,5,98,24
1452,56,67,24
1464,100,100,24
1483,60,97,24
1451,1,100,24
1473,31,71,24
1470,2,99,24
1454,68,78,24
1438,6,93,24
1488,2,99,24
1494,21,73,24
1466,0,100,24
1490,8,100,24
1458,82,42,24
1442,51,96,24
1476,1,100,24
1446,3,99,24
1484,8,100,24
1487,100,91,24
1492,0,100,24
1440,1,100,24
