workerid,int,trial
1580,99,0
1580,98,10
1580,99,21
1580,49,11
1580,1,3
1580,2,5
1580,78,6
1580,48,12
1580,1,17
1580,48,18
1580,50,14
1580,4,23
1580,3,1
1580,4,13
1580,50,19
1580,51,15
1580,3,20
1580,99,2
1580,99,9
1580,49,7
1580,99,8
1580,96,24
1580,51,22
1580,99,16
1580,98,4
1586,97,0
1586,97,0
1586,99,0
1586,55,12
1586,42,23
1586,50,19
1586,52,24
1586,55,15
1586,50,7
1586,94,2
1586,86,4
1586,27,17
1586,59,9
1586,50,11
1586,86,10
1586,50,3
1586,41,6
1586,51,1
1586,98,16
1586,51,18
1586,55,14
1586,96,8
1586,50,22
1586,26,20
1586,49,21
1593,96,0
1593,76,7
1593,50,11
1593,78,19
1593,77,21
1593,43,13
1593,50,24
1593,94,16
1593,13,23
1593,4,5
1593,84,2
1593,34,14
1593,82,8
1593,0,17
1593,61,6
1593,79,4
1593,49,22
1593,62,1
1593,12,20
1593,64,9
1593,98,10
1593,27,18
1593,65,3
1593,68,15
1593,70,12
1581,99,0
1581,98,0
1581,50,23
1581,99,16
1581,50,22
1581,50,9
1581,25,20
1581,75,1
1581,39,4
1581,28,18
1581,18,17
1581,51,21
1581,14,5
1581,50,13
1581,46,11
1581,50,15
1581,50,3
1581,50,6
1581,49,12
1581,49,14
1581,78,8
1581,77,24
1581,82,2
1581,83,10
1581,50,19
1576,97,0
1576,100,0
1576,0,17
1576,99,7
1576,100,9
1576,96,3
1576,98,16
1576,9,5
1576,50,21
1576,73,11
1576,91,10
1576,85,12
1576,76,14
1576,78,1
1576,82,15
1576,50,19
1576,96,4
1576,56,24
1576,98,8
1576,69,6
1576,21,23
1576,13,20
1576,88,2
1576,90,13
1576,63,22
1627,100,0
1627,44,22
1627,4,23
1627,89,2
1627,100,16
1627,62,14
1627,69,19
1627,97,4
1627,55,3
1627,44,1
1627,100,8
1627,74,12
1627,95,10
1627,52,21
1627,9,20
1627,97,9
1627,61,11
1627,0,17
1627,7,6
1627,62,15
1627,7,5
1627,31,24
1627,43,13
1627,2,18
1627,41,7
1601,100,0
1601,0,20
1601,0,5
1601,17,3
1601,100,14
1601,49,12
1601,6,13
1601,99,8
1601,11,21
1601,14,22
1601,100,16
1601,50,6
1601,70,9
1601,0,17
1601,0,23
1601,100,10
1601,100,2
1601,0,11
1601,93,7
1601,66,19
1601,0,18
1601,100,15
1601,87,1
1601,84,24
1601,100,4
1598,74,0
1598,74,0
1598,100,4
1598,50,7
1598,0,23
1598,25,21
1598,100,8
1598,23,22
1598,50,24
1598,0,20
1598,0,13
1598,84,15
1598,0,6
1598,99,10
1598,49,19
1598,77,14
1598,64,11
1598,100,2
1598,0,18
1598,67,3
1598,0,5
1598,65,9
1598,51,12
1598,0,17
1598,77,1
1602,99,0
1602,99,0
1602,99,7
1602,81,3
1602,1,5
1602,87,12
1602,0,17
1602,99,16
1602,50,19
1602,99,4
1602,99,15
1602,30,13
1602,98,21
1602,1,1
1602,50,22
1602,99,11
1602,50,14
1602,99,2
1602,1,23
1602,98,24
1602,61,6
1602,99,8
1602,99,9
1602,1,20
1602,1,18
1608,50,0
1608,48,0
1608,50,0
1608,81,10
1608,27,22
1608,97,5
1608,51,11
1608,30,19
1608,94,8
1608,22,13
1608,95,4
1608,50,21
1608,55,12
1608,98,2
1608,74,9
1608,87,14
1608,66,3
1608,17,17
1608,95,24
1608,97,16
1608,91,15
1608,1,23
1608,50,6
1608,76,1
1608,49,20
1570,97,0
1570,98,0
1570,100,10
1570,50,21
1570,83,7
1570,84,9
1570,73,6
1570,50,13
