workerid,int,trial
1570,0,20
1570,99,8
1570,74,19
1570,82,2
1570,88,16
1570,50,22
1570,70,3
1570,0,17
1570,72,12
1570,100,4
1570,0,18
1570,74,24
1570,26,14
1570,0,5
1570,88,1
1570,0,23
1570,78,15
1590,100,0
1590,99,0
1590,99,0
1590,99,0
1590,100,0
1590,71,6
1590,99,4
1590,62,14
1590,85,1
1590,50,22
1590,54,19
1590,100,16
1590,8,20
1590,75,9
1590,28,11
1590,4,17
1590,50,7
1590,58,21
1590,36,12
1590,19,5
1590,91,2
1590,99,8
1590,10,23
1590,97,10
1590,50,18
1579,95,0
1579,97,0
1579,83,9
1579,42,6
1579,31,20
1579,96,2
1579,68,7
1579,69,12
1579,76,11
1579,36,24
1579,60,1
1579,40,13
1579,46,22
1579,54,3
1579,86,4
1579,32,18
1579,23,23
1579,78,15
1579,100,10
1579,94,16
1579,45,14
1579,85,8
1579,52,19
1579,2,5
1579,50,21
1617,98,0
1617,99,4
1617,47,13
1617,100,8
1617,55,6
1617,5,14
1617,52,9
1617,60,11
1617,1,17
1617,1,5
1617,100,2
1617,50,21
1617,62,3
1617,0,23
1617,10,18
1617,100,16
1617,63,7
1617,50,22
1617,100,15
1617,88,10
1617,49,19
1617,34,24
1617,0,20
1617,75,1
1617,88,12
1582,99,0
1582,99,0
1582,98,24
1582,51,15
1582,76,19
1582,99,2
1582,99,1
1582,98,9
1582,99,7
1582,99,4
1582,51,6
1582,47,13
1582,50,12
1582,98,21
1582,1,18
1582,2,20
1582,2,17
1582,2,5
1582,100,16
1582,0,23
1582,51,22
1582,51,11
1582,100,10
1582,100,3
1582,66,14
1609,87,0
1609,84,0
1609,86,0
1609,63,13
1609,7,20
1609,13,17
1609,74,7
1609,79,15
1609,13,5
1609,66,11
1609,84,22
1609,28,6
1609,78,8
1609,25,18
1609,29,23
1609,80,12
1609,69,14
1609,62,21
1609,32,24
1609,73,1
1609,79,3
1609,83,10
1609,85,9
1609,81,4
1609,33,19
1561,87,0
1561,85,0
1561,0,5
1561,54,6
1561,80,24
1561,50,22
1561,29,20
1561,61,12
1561,56,11
1561,43,3
1561,42,13
1561,66,15
1561,34,18
1561,55,14
1561,98,16
1561,88,4
1561,50,21
1561,11,23
1561,52,7
1561,38,1
1561,98,2
1561,95,8
1561,4,17
1561,91,10
1561,55,19
1575,100,0
1575,100,0
1575,100,16
1575,76,1
1575,69,15
1575,43,13
1575,0,5
1575,49,24
1575,48,18
1575,13,17
1575,71,10
1575,49,14
1575,25,23
1575,78,4
1575,63,11
1575,84,8
1575,49,22
1575,50,19
1575,57,3
1575,57,9
1575,45,21
1575,0,20
1575,49,7
1575,83,2
1575,50,6
1572,86,0
1572,44,11
1572,32,24
1572,70,14
1572,11,20
1572,0,5
1572,85,9
1572,94,2
1572,12,23
1572,23,18
1572,5,17
1572,84,15
1572,60,13
1572,47,19
1572,88,4
1572,43,22
1572,65,12
1572,23,3
1572,76,6
1572,92,10
1572,73,1
1572,97,8
1572,74,21
1572,74,7
1572,76,16
1558,100,0
1558,99,0
1558,99,0
1558,69,19
1558,10,23
1558,99,8
1558,99,1
1558,35,11
1558,99,4
1558,99,14
1558,50,22
1558,99,2
1558,1,5
1558,1,17
1558,99,9
1558,100,10
1558,100,16
1558,0,20
1558,0,18
1558,79,24
1558,50,3
1558,49,12
1558,4,13
1558,36,6
1558,75,7
1594,100,0
1594,0,20
1594,0,23
1594,0,5
1594,100,12
1594,81,21
1594,87,11
1594,100,4
1594,100,3
1594,7,18
1594,100,16
1594,50,22
1594,100,10
1594,100,9
1594,66,6
1594,50,13
1594,100,7
1594,85,19
1594,100,2
1594,0,17
1594,100,8
1594,100,14
1594,100,1
1594,100,24
1594,100,15
1619,100,0
1619,100,4
1619,77,14
1619,74,11
1619,50,21
1619,73,1
1619,0,5
1619,100,9
1619,100,2
1619,86,15
1619,81,3
1619,2,18
1619,50,19
1619,100,16
1619,77,6
1619,75,7
1619,90,12
1619,8,13
1619,0,23
1619,100,24
1619,100,10
1619,100,8
1619,50,22
1619,0,17
1619,7,20
1611,85,0
1611,93,0
1611,100,0
1611,100,0
1611,15,14
1611,87,7
1611,77,15
1611,100,16
1611,0,17
1611,0,5
1611,100,21
1611,100,6
1611,100,9
1611,51,22
1611,99,8
1611,50,20
1611,6,3
1611,2,24
1611,1,11
1611,50,1
1611,5,18
1611,0,23
1611,50,19
1611,97,10
1611,97,13
1621,100,0
1621,100,4
1621,74,21
1621,60,14
1621,98,7
1621,55,12
1621,50,22
1621,0,5
1621,38,18
1621,100,1
1621,38,13
1621,100,9
1621,40,24
1621,0,20
1621,100,8
1621,100,10
1621,100,2
1621,50,3
1621,50,6
1621,50,19
1621,100,16
1621,57,11
1621,0,23
1621,100,15
1621,0,17
1600,94,0
1600,98,0
1600,99,0
1600,99,8
1600,96,15
1600,99,10
1600,98,1
1600,99,11
1600,1,23
1600,65,21
1600,2,5
1600,72,12
1600,86,14
1600,54,19
1600,66,17
1600,43,13
1600,35,18
1600,99,4
1600,99,9
1600,99,2
1600,1,20
1600,99,16
1600,51,22
1600,95,6
1600,78,3
1583,99,0
1583,99,0
1583,74,6
1583,100,12
1583,0,23
1583,99,9
1583,51,24
1583,99,1
1583,99,2
1583,99,8
1583,100,14
1583,100,10
1583,1,17
1583,99,7
1583,99,11
1583,0,20
1583,99,4
1583,0,5
1583,99,21
1583,99,22
1583,99,3
1583,99,15
1583,50,19
1583,99,16
1583,1,13
1625,100,0
1625,100,0
1625,25,13
1625,53,7
1625,64,1
1625,52,19
1625,0,5
1625,100,4
1625,50,6
1625,41,14
1625,1,17
1625,0,23
1625,100,8
1625,100,10
1625,24,18
1625,0,20
1625,86,15
1625,42,24
1625,100,16
1625,100,2
1625,82,9
1625,40,22
1625,62,3
1625,52,11
1625,54,12
1564,97,0
1564,98,0
1564,99,16
1564,1,5
1564,30,11
1564,2,23
1564,98,4
1564,50,22
1564,2,1
1564,66,24
1564,99,10
1564,48,12
1564,99,8
1564,24,13
1564,60,21
1564,1,20
1564,97,15
1564,76,19
1564,99,2
1564,97,9
1564,2,3
1564,0,17
1564,63,6
1564,3,18
1564,100,14
1592,99,0
1592,100,0
1592,99,0
1592,100,16
1592,100,4
1592,0,17
1592,100,10
1592,59,14
1592,100,21
1592,100,9
1592,100,22
1592,100,11
1592,100,13
1592,50,23
1592,0,5
1592,59,3
1592,99,24
1592,51,1
1592,81,7
1592,50,18
1592,100,8
1592,100,2
1592,70,12
1592,44,6
1592,89,19
1603,100,0
1603,99,0
1603,100,0
1603,1,11
1603,0,23
1603,53,14
1603,0,5
1603,21,13
1603,51,6
1603,100,1
1603,100,7
1603,100,4
1603,100,2
1603,100,9
1603,50,24
1603,100,15
1603,58,21
1603,0,20
1603,100,8
1603,100,10
1603,100,3
1603,0,18
1603,100,16
1603,57,19
1603,0,17
1622,92,0
1622,98,15
1622,0,20
1622,98,2
1622,93,1
1622,56,18
1622,44,13
1622,0,17
1622,87,3
1622,93,8
1622,77,7
1622,49,21
1622,63,24
1622,90,11
1622,76,12
1622,5,5
1622,51,6
1622,100,16
1622,100,4
1622,92,22
1622,79,9
1622,96,19
1622,0,23
1622,100,10
1622,90,14
1604,97,0
1604,94,0
1604,89,0
1604,62,7
1604,52,11
1604,68,14
1604,50,22
1604,78,19
1604,87,15
1604,33,3
1604,54,6
1604,98,16
1604,89,4
1604,53,24
1604,94,2
1604,84,8
1604,45,18
1604,16,20
1604,82,21
1604,72,9
1604,98,5
1604,50,12
1604,11,1
1604,91,10
1604,6,17
1571,94,0
1571,86,0
1571,83,0
1571,85,0
1571,78,14
1571,66,6
1571,7,5
1571,17,3
1571,49,21
1571,88,4
1571,7,23
1571,100,16
1571,8,11
1571,6,17
1571,58,13
1571,6,1
1571,35,24
1571,100,2
1571,12,12
1571,83,7
1571,72,15
1571,87,9
1571,23,18
1571,15,20
1571,12,22
1624,98,0
1624,30,21
1624,37,12
1624,15,13
1624,28,11
1624,89,9
1624,0,23
1624,99,8
1624,8,6
1624,100,7
1624,6,20
1624,9,18
1624,0,5
1624,26,19
1624,100,16
1624,24,3
1624,1,10
1624,92,2
1624,82,1
1624,50,14
1624,30,22
1624,81,24
1624,94,15
1624,84,4
1624,0,17
1587,100,0
1587,74,11
1587,100,8
1587,75,12
1587,58,24
1587,50,22
1587,49,21
1587,100,10
1587,42,14
1587,38,18
1587,100,16
1587,88,9
1587,100,7
1587,81,15
1587,43,6
1587,0,17
1587,0,23
1587,0,5
1587,62,1
1587,42,13
1587,6,20
1587,100,4
1587,57,3
1587,100,2
1587,50,19
1566,80,0
1566,84,0
1566,82,0
1566,77,0
1566,70,22
1566,98,16
1566,12,5
1566,95,8
1566,70,14
1566,17,20
1566,16,18
1566,45,3
1566,76,9
1566,69,21
1566,10,23
1566,77,7
1566,76,11
1566,11,17
1566,95,15
1566,93,10
1566,49,6
1566,67,19
1566,74,1
1566,68,12
1566,90,2
1584,19,0
1584,22,0
1584,89,0
1584,6,23
1584,47,12
1584,95,4
1584,88,6
1584,1,5
1584,97,16
1584,97,2
1584,97,24
1584,97,9
1584,8,11
1584,94,8
1584,3,20
1584,3,1
1584,47,19
1584,48,22
1584,54,3
1584,3,17
1584,21,14
1584,73,15
1584,4,18
1584,56,7
1584,53,21
1600,100,0
1600,99,0
1600,6,14
1600,81,19
1600,99,8
1600,64,12
1600,93,7
1600,78,13
1600,31,15
1600,75,2
1600,44,11
1600,9,17
1600,96,16
1600,98,10
1600,88,22
1600,80,18
1600,94,4
1600,83,21
1600,81,1
1600,84,24
1600,86,9
1600,7,20
1600,2,5
1600,86,3
1600,62,6
1599,100,0
1599,100,19
1599,0,22
1599,22,6
1599,100,16
1599,0,17
1599,14,21
1599,100,10
1599,1,14
1599,25,24
1599,41,12
1599,19,13
1599,0,5
1599,0,18
1599,0,1
1599,0,23
1599,100,9
1599,100,4
1599,100,15
1599,100,7
1599,0,20
1599,81,11
1599,100,3
1599,100,2
1599,100,8
1620,75,0
1620,81,0
1620,60,9
1620,98,10
1620,38,1
1620,1,20
1620,50,12
1620,1,5
1620,50,3
1620,99,8
1620,50,22
1620,61,19
1620,75,15
1620,50,24
1620,14,18
1620,0,17
1620,50,11
1620,99,4
1620,65,13
1620,15,7
1620,10,14
1620,0,23
1620,49,6
1620,100,2
1620,92,21
1574,92,0
1574,90,4
1574,87,1
1574,46,21
1574,95,2
1574,57,6
1574,53,12
1574,93,15
1574,42,22
1574,36,13
1574,13,20
1574,4,23
1574,87,7
1574,93,10
1574,11,18
1574,97,16
1574,6,5
1574,95,8
1574,32,14
1574,62,9
1574,59,19
1574,89,3
1574,72,11
1574,6,17
1574,15,24
1568,49,0
1568,51,0
1568,65,4
1568,33,23
1568,50,13
1568,57,9
1568,75,16
1568,50,12
1568,80,10
1568,49,22
1568,50,18
1568,37,7
1568,12,17
1568,0,20
1568,0,5
1568,50,3
1568,58,21
1568,50,14
1568,49,19
1568,36,11
1568,81,15
1568,49,6
1568,100,2
1568,48,1
1568,50,24
1628,98,0
1628,100,0
1628,35,24
1628,98,1
1628,16,11
1628,98,2
1628,50,14
1628,49,7
1628,50,21
1628,70,10
1628,1,20
1628,0,5
1628,22,19
1628,99,8
1628,1,18
1628,77,4
1628,35,13
1628,98,16
1628,51,12
1628,26,22
1628,0,17
1628,12,15
1628,11,23
1628,49,9
1628,0,6
1588,50,0
1588,99,0
1588,98,0
1588,51,21
1588,98,18
1588,99,14
1588,98,24
1588,99,22
1588,98,16
1588,2,5
1588,98,2
1588,98,4
1588,1,20
1588,99,12
1588,98,13
1588,1,23
1588,97,9
1588,1,7
1588,98,10
1588,49,6
1588,97,15
1588,98,8
1588,98,11
1588,2,17
1588,50,19
1596,100,0
1596,100,2
1596,100,24
1596,11,23
1596,42,21
1596,93,9
1596,0,18
1596,97,3
1596,100,1
1596,44,14
1596,3,17
1596,45,19
1596,100,4
1596,98,15
1596,100,10
1596,24,20
1596,50,22
1596,100,16
1596,63,13
1596,0,5
1596,77,11
1596,100,8
1596,95,7
1596,93,12
1596,40,6
1597,99,0
1597,99,0
1597,100,8
1597,100,6
1597,98,18
1597,99,13
1597,0,15
1597,100,7
1597,100,14
1597,100,4
1597,99,22
1597,100,24
1597,98,9
1597,98,10
1597,0,17
1597,1,3
1597,100,2
1597,99,19
1597,1,11
1597,4,23
1597,0,1
1597,50,21
1597,3,5
1597,9,20
1597,100,16
1559,100,0
1559,0,18
1559,44,13
1559,100,4
1559,48,22
1559,100,8
1559,100,16
1559,100,2
1559,100,10
1559,100,9
1559,100,3
1559,100,14
1559,70,11
1559,0,23
1559,0,5
1559,0,20
1559,98,1
1559,100,12
1559,100,7
1559,100,21
1559,100,15
1559,35,24
1559,100,17
1559,0,6
1559,39,19
1577,100,0
1577,100,0
1577,100,2
1577,36,1
1577,100,24
1577,70,20
1577,100,18
1577,0,5
1577,100,10
1577,68,14
1577,100,16
1577,61,23
1577,72,22
1577,100,6
1577,34,7
1577,100,4
1577,100,8
1577,48,3
1577,63,12
1577,52,11
1577,19,15
1577,81,19
1577,100,9
1577,87,13
1577,0,17
1569,100,0
1569,63,14
1569,100,15
1569,100,9
1569,100,10
1569,100,8
1569,100,3
1569,0,23
1569,50,6
1569,50,12
1569,80,11
1569,5,24
1569,100,1
1569,51,13
1569,0,20
1569,50,19
1569,100,4
1569,100,7
1569,0,17
1569,49,21
1569,0,18
1569,99,2
1569,100,16
1569,20,22
1569,0,5
1595,100,0
1595,100,0
1595,100,0
1595,100,0
1595,33,21
1595,0,18
1595,100,4
1595,0,17
1595,100,15
1595,34,22
1595,100,16
1595,0,5
1595,50,14
1595,100,8
1595,0,23
1595,63,12
1595,100,2
1595,55,3
1595,100,10
1595,100,9
1595,50,24
1595,67,1
1595,50,6
1595,77,11
1595,9,20
1591,76,0
1591,50,14
1591,98,15
1591,99,16
1591,2,18
1591,96,4
1591,97,2
1591,50,19
1591,39,22
1591,98,10
1591,27,21
1591,99,7
1591,97,1
1591,3,13
1591,29,12
1591,0,23
1591,2,24
1591,99,8
1591,2,5
1591,25,6
1591,2,20
1591,2,11
1591,1,17
1591,27,3
1591,74,9
1626,100,0
1626,100,0
1626,97,1
1626,73,14
1626,98,12
1626,97,11
1626,2,5
1626,0,20
1626,62,6
1626,100,8
1626,0,23
1626,39,19
1626,100,4
1626,34,18
1626,77,22
1626,98,9
1626,97,17
1626,100,2
1626,87,21
1626,98,15
1626,97,7
1626,2,13
1626,100,10
1626,50,24
1626,100,16
