trial,red_steps,blue_steps,box_steps
1,10,4,1
2,7,4,1
3,10,4,1
4,7,4,1
5,9,4,1
6,8,4,1
7,10,5,1
8,8,5,1
9,7,4,1
10,7,4,1
11,10,6,1
12,9,6,1
13,10,3,2
14,10,3,2
15,10,4,1
16,9,4,1
17,10,3,1
18,10,3,1
19,9,2,0
20,10,2,0
21,9,1,0
22,10,1,0
23,10,2,1
24,9,2,1
