trial,red_steps,blue_steps,box_steps
1,4,3,1
2,10,3,1
3,10,0,0
4,10,3,1
5,10,3,1
6,4,3,1
7,10,3,1
8,9,4,1
9,7,7,2
10,6,6,1
11,9,3,1
12,9,3,1
13,7,5,1
14,10,4,2
15,10,5,3
16,10,5,1
17,7,4,1
18,7,5,1
19,7,5,1
20,7,5,1
21,7,4,1
22,7,5,1
23,9,4,1
24,9,0,0
